Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56.8,-73.9,90,bottom
C2,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,81.44004,-77.2504,90,bottom
C3,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,76.425,-73.6,0,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,75.75,-85.55,270,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,56.9,-83.1,0,bottom
C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,67.9,-67.95004,180,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,71.4,-70.7,180,bottom
D0,D,D_SOD-123,62,-91.1,0,bottom
D1,D,D_SOD-123,271.25,-36.40004,270,bottom
D2,D,D_SOD-123,282.45,-56.90004,270,bottom
D3,D,D_SOD-123,202.45,-50.75004,270,bottom
D4,D,D_SOD-123,176.85,-34.30004,270,bottom
D5,D,D_SOD-123,139,-36.30004,270,bottom
D6,D,D_SOD-123,119.90004,-35.2004,270,bottom
D7,D,D_SOD-123,89.05,-94.05004,90,bottom
D8,D,D_SOD-123,83.45,-93.25004,270,bottom
D9,D,D_SOD-123,60.75,-101.85004,270,bottom
D10,PRTR5V0U2X,SOT-143,49.425,-27.47504,90,bottom
D11,D,D_SOD-123,60.75,-106.85004,270,bottom
D12,D,D_SOD-123,191.25004,-35.2004,90,bottom
D13,D,D_SOD-123,286.85004,-34.2504,90,bottom
D14,D,D_SOD-123,229.3,-35.2,90,bottom
D15,D,D_SOD-123,210.6,-34.3,90,bottom
D16,D,D_SOD-123,134.4,-34.3,90,bottom
D17,D,D_SOD-123,96.3,-34.3,90,bottom
D18,D,D_SOD-123,76.9,-35.2,90,bottom
D19,D,D_SOD-123,27.6,-44.65004,180,bottom
D20,D,D_SOD-123,161.45,-94.05004,270,bottom
D21,D,D_SOD-123,172.05004,-92.4004,90,bottom
D22,D,D_SOD-123,169.45,-94.05004,270,bottom
D23,D,D_SOD-123,285.8,-43.25004,0,bottom
D24,D,D_SOD-123,240.45,-45.25004,270,bottom
D25,D,D_SOD-123,221.45,-44.45004,270,bottom
D26,D,D_SOD-123,145.25,-44.45004,270,bottom
D27,D,D_SOD-123,107.25,-44.45004,270,bottom
D28,D,D_SOD-123,88.25,-45.25004,270,bottom
D29,D,D_SOD-123,49.65,-43.85004,180,bottom
D30,D,D_SOD-123,202.45,-45.25004,270,bottom
D31,D,D_SOD-123,202.4,-63.70004,270,bottom
D32,D,D_SOD-123,302.65,-63.95004,270,bottom
D33,D,D_SOD-123,191.05004,-92.4004,90,bottom
D34,D,D_SOD-123,240.6,-63.75004,270,bottom
D35,D,D_SOD-123,221.55,-64.50004,270,bottom
D36,D,D_SOD-123,145.3,-64.40004,270,bottom
D37,D,D_SOD-123,107.2,-64.40004,270,bottom
D38,D,D_SOD-123,88.45,-64.75004,270,bottom
D39,D,D_SOD-123,48,-63.65004,270,bottom
D40,D,D_SOD-123,180.50004,-94.05004,270,bottom
D41,D,D_SOD-123,286,-93.20004,90,bottom
D42,D,D_SOD-123,234.25004,-95.7004,90,bottom
D43,D,D_SOD-123,229.2,-92.4,90,bottom
D44,D,D_SOD-123,280.65,-62.55004,180,bottom
D45,D,D_SOD-123,209.45,-93.25004,90,bottom
D46,D,D_SOD-123,130.25,-93.25004,90,bottom
D47,D,D_SOD-123,95.65,-93.25004,90,bottom
D48,D,D_SOD-123,80.65,-92.45004,90,bottom
D49,D,D_SOD-123,40.45,-103.65004,90,bottom
D50,D,D_SOD-123,225.45,-94.05004,270,bottom
D51,D,D_SOD-123,303.6,-94.05004,270,bottom
D52,D,D_SOD-123,283.25,-94.90004,270,bottom
