Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LED1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_TriangleMark,25.65,-62.45004,180,top
LED2,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_TriangleMark,25.65,-66.65004,180,top
LED3,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_TriangleMark,304.45,-62.45004,180,top
LED4,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm_TriangleMark,304.45,-66.65004,180,top
LS1,Speaker,Buzzer_Murata_PKMCS0909E4000-R1,57.25004,-92.9004,0,top
SW_'1,SW_Push,MXOnly-1U-Hotswap-guide,174.65088,-69.87524,0,top
SW_'2,SW_Push,MXOnly-1U-Hotswap-guide,279.42504,-69.8754,90,top
SW_-1,SW_Push,MXOnly-1U-Hotswap-guide,279.42484,-31.77504,0,top
SW_0,SW_Push,MXOnly-1U-Hotswap-guide,260.37484,-31.77504,0,top
SW_1,SW_Push,MXOnly-1U-Hotswap-guide,50.825,-31.77504,180,top
SW_2,SW_Push,MXOnly-1U-Hotswap-guide,69.875,-31.77504,0,top
SW_3,SW_Push,MXOnly-1U-Hotswap-guide,88.925,-31.77504,0,top
SW_4,SW_Push,MXOnly-1U-Hotswap-guide,107.975,-31.77504,0,top
SW_5,SW_Push,MXOnly-1U-Hotswap-guide,127.025,-31.77504,0,top
SW_6,SW_Push,MXOnly-1U-Hotswap-guide,146.075,-31.77504,0,top
SW_7,SW_Push,MXOnly-1U-Hotswap-guide,203.2256,-31.77508,0,top
SW_8,SW_Push,MXOnly-1U-Hotswap-guide,222.27568,-31.77504,0,top
SW_9,SW_Push,MXOnly-1U-Hotswap-guide,241.32576,-31.77504,0,top
SW_;1,SW_Push,MXOnly-1U-Hotswap-guide,155.60056,-69.87524,180,top
SW_;3,SW_Push,MXOnly-1U-Hotswap-guide,269.90004,-69.8754,0,top
SW_<1,SW_Push,MXOnly-1U-Hotswap-guide,241.32576,-88.92532,0,top
SW_=1,SW_Push,MXOnly-1U-Hotswap-guide,298.47484,-31.77504,0,top
SW_>1,SW_Push,MXOnly-1U-Hotswap-guide,260.37584,-88.92532,0,top
SW_A1,SW_Push,MXOnly-1U-Hotswap-guide,60.35,-69.8752,0,top
SW_B1,SW_Push,MXOnly-1U-Hotswap-guide,146.075,-88.92528,0,top
SW_B2,SW_Push,MXOnly-1U-Hotswap-guide,184.17504,-88.9254,0,top
SW_BS1.5u1,SW_Push,MXOnly-1.5U-Hotswap-guide,293.71348,-50.82516,0,top
SW_BS1.5u2,SW_Push,MXOnly-1.5U-Hotswap-guide,255.61254,-50.8254,180,top
SW_BS1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,291.33129,-50.8254,180,top
SW_BS2u1,SW_Push,MXOnly-2U-Hotswap-guide,288.95,-31.77504,0,top
SW_C1,SW_Push,MXOnly-1U-Hotswap-guide,107.975,-88.92528,0,top
SW_CAPS1u1,SW_Push,MXOnly-1U-Hotswap-guide,31.77504,-107.9754,0,top
SW_CSPC2u1,SW_Push,MXOnly-2U-Hotswap-ReversedStabilizers-guide,165.12504,-107.9754,0,top
SW_CTL1.5u1,SW_Push,MXOnly-1.5U-Hotswap-guide,36.53754,-69.8754,180,top
SW_CTL1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,38.91882,-69.87524,0,top
SW_Center1,SW_Push,MXOnly-1U-Hotswap-guide,165.12504,-88.9254,0,top
SW_CenterL1u1,SW_Push,MXOnly-1U-Hotswap-guide,155.60004,-107.9754,0,top
SW_CenterR1u1,SW_Push,MXOnly-1U-Hotswap-guide,174.65004,-107.9754,0,top
SW_D1,SW_Push,MXOnly-1U-Hotswap-guide,98.45,-69.8752,0,top
SW_DOWN1,SW_Push,MXOnly-1U-Hotswap-guide,279.42608,-107.97536,0,top
SW_E1,SW_Push,MXOnly-1U-Hotswap-guide,98.45,-50.82512,0,top
SW_ENT1.5u1,SW_Push,MXOnly-1.5U-Hotswap-guide,293.71348,-69.87524,0,top
SW_ENT1.5u2,SW_Push,MXOnly-1.5U-Hotswap-guide,255.61254,-69.8754,180,top
SW_ENT1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,291.33129,-69.8754,180,top
SW_ENT2.25u1,SW_Push,MXOnly-2.25U-Hotswap-LeftRotate-guide,281.80625,-69.87504,0,top
SW_ESC1,SW_Push,MXOnly-1U-Hotswap-guide,31.775,-31.77504,180,top
SW_F1,SW_Push,MXOnly-1U-Hotswap-guide,117.5,-69.8752,0,top
SW_Fn1u1,SW_Push,MXOnly-1U-Hotswap-guide,298.47616,-88.92532,0,top
SW_G1,SW_Push,MXOnly-1U-Hotswap-guide,136.55,-69.8752,0,top
SW_H1,SW_Push,MXOnly-1U-Hotswap-guide,193.70004,-69.8754,0,top
SW_I1,SW_Push,MXOnly-1U-Hotswap-guide,231.80072,-50.82516,0,top
SW_J1,SW_Push,MXOnly-1U-Hotswap-guide,212.75064,-69.8752,0,top
SW_K1,SW_Push,MXOnly-1U-Hotswap-guide,231.80072,-69.87524,0,top
SW_L1,SW_Push,MXOnly-1U-Hotswap-guide,250.8508,-69.87524,0,top
SW_L2-1u1,SW_Push,MXOnly-1U-Hotswap-guide,50.82504,-107.9754,0,top
SW_LALT1.5u/MHEN1u1,SW_Push,MXOnly-1.5U-Hotswap-guide,93.68754,-107.9754,180,top
SW_LALT1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,96.06906,-107.9754,0,top
SW_LEFT1,SW_Push,MXOnly-1U-Hotswap-guide,260.37504,-107.9754,180,top
SW_LSFT1.75u1,SW_Push,MXOnly-1.75U-Hotswap-guide,43.68134,-88.92532,0,top
SW_LSFT1u1,SW_Push,MXOnly-1U-Hotswap-guide,31.77504,-88.9254,180,top
SW_LSFT1u2,SW_Push,MXOnly-1U-Hotswap-guide,50.82504,-88.9254,180,top
SW_LSFT2u1,SW_Push,MXOnly-2U-Hotswap-ReversedStabilizers-guide,41.30008,-88.92532,180,top
SW_LSPC2.25u1,SW_Push,MXOnly-2.25U-Hotswap-guide,124.64418,-107.9754,180,top
SW_LSPC2u1,SW_Push,MXOnly-2U-Hotswap-ReversedStabilizers-guide,127.02544,-107.9754,0,top
SW_LWIN1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,72.25629,-107.9754,0,top
SW_LWIN1u1,SW_Push,MXOnly-1U-Hotswap-guide,69.87504,-107.9754,180,top
SW_M1,SW_Push,MXOnly-1U-Hotswap-guide,222.27568,-88.92528,0,top
SW_N1,SW_Push,MXOnly-1U-Hotswap-guide,203.2256,-88.92528,0,top
SW_O1,SW_Push,MXOnly-1U-Hotswap-guide,250.8508,-50.82516,0,top
SW_P1,SW_Push,MXOnly-1U-Hotswap-guide,269.90088,-50.82516,0,top
SW_Q1,SW_Push,MXOnly-1U-Hotswap-guide,60.35,-50.82512,0,top
SW_R1,SW_Push,MXOnly-1U-Hotswap-guide,117.5,-50.82512,0,top
SW_RALT1.5u1,SW_Push,MXOnly-1.5U-Hotswap-guide,236.56254,-107.9754,180,top
SW_RALT1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,234.18129,-107.9754,0,top
SW_RIGHT1,SW_Push,MXOnly-1U-Hotswap-guide,298.47616,-107.9754,0,top
SW_ROPT1.25u1,SW_Push,MXOnly-1.25U-Hotswap-guide,257.99379,-107.9754,0,top
SW_RSPC2u1,SW_Push,MXOnly-2U-Hotswap-ReversedStabilizers-guide,203.22504,-107.9754,0,top
SW_S1,SW_Push,MXOnly-1U-Hotswap-guide,79.4,-69.8752,0,top
SW_T1,SW_Push,MXOnly-1U-Hotswap-guide,136.55,-50.82512,0,top
SW_TAB1.5u1,SW_Push,MXOnly-1.5U-Hotswap-guide,36.5375,-50.82512,0,top
SW_U1,SW_Push,MXOnly-1U-Hotswap-guide,212.75064,-50.82516,0,top
SW_UP1,SW_Push,MXOnly-1U-Hotswap-guide,279.42608,-88.92532,0,top
SW_V1,SW_Push,MXOnly-1U-Hotswap-guide,127.025,-88.92528,0,top
SW_W1,SW_Push,MXOnly-1U-Hotswap-guide,79.4,-50.82512,0,top
SW_X1,SW_Push,MXOnly-1U-Hotswap-guide,88.925,-88.92528,0,top
SW_Y1,SW_Push,MXOnly-1U-Hotswap-guide,193.70004,-50.8254,0,top
SW_Z1,SW_Push,MXOnly-1U-Hotswap-guide,69.875,-88.92528,180,top
SW_[1,SW_Push,MXOnly-1U-Hotswap-guide,155.60056,-50.82512,0,top
SW_[2,SW_Push,MXOnly-1U-Hotswap-guide,279.42504,-50.8254,90,top
SW_\1,SW_Push,MXOnly-1U-Hotswap-guide,184.17504,-31.7754,0,top
