Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-72.5,-72,0,bottom
C2,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-62.382,-54.127,180,bottom
C3,22pF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-62.382,-63.652,180,bottom
C4,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-83.25,-65.15,270,bottom
C5,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-69.24,-51.7,0,bottom
C6,1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-68.986,-69.494,0,bottom
C7,0.1uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-62.382,-66.446,180,bottom
D1,D,D_SOD-123-Pretty,-40.03,-38.76,90,bottom
D2,D,D_SOD-123-Pretty,-42.57,-55.27,90,bottom
D3,D,D_SOD-123-Pretty,-41.173,-74.32,90,bottom
D4,D,D_SOD-123-Pretty,-57.04628,-96.54948,90,bottom
D5,D,D_SOD-123-Pretty,-45.11,-112.7375,90,bottom
D6,D,D_SOD-123-Pretty,-59.08,-38.76,90,bottom
D7,D,D_SOD-123-Pretty,-51.968,-55.27,90,bottom
D8,D,D_SOD-123-Pretty,-44.221,-74.32,90,bottom
D9,D,D_SOD-123-Pretty,-78.13,-93.37,90,bottom
D10,D,D_SOD-123-Pretty,-60.35,-112.7375,90,bottom
D11,D,D_SOD-123-Pretty,-75.59,-36.22,90,bottom
D12,D,D_SOD-123-Pretty,-87.274,-50.698,90,bottom
D13,D,D_SOD-123-Pretty,-90.068,-74.32,90,bottom
D14,D,D_SOD-123-Pretty,-94.64,-93.37,90,bottom
D15,D,D_SOD-123-Pretty,-84.95625,-112.7375,90,bottom
D16,D,D_SOD-123-Pretty,-94.64,-36.22,90,bottom
D17,D,D_SOD-123-Pretty,-106.451,-52.603,90,bottom
D18,D,D_SOD-123-Pretty,-104.165,-74.32,90,bottom
D19,D,D_SOD-123-Pretty,-113.69,-93.37,90,bottom
D20,D,D_SOD-123-Pretty,-109.3,-112.65,90,bottom
D21,D,D_SOD-123-Pretty,-113.69,-36.22,90,bottom
D22,D,D_SOD-123-Pretty,-125.501,-52.476,90,bottom
D23,D,D_SOD-123-Pretty,-123.215,-74.32,90,bottom
D24,D,D_SOD-123-Pretty,-132.74,-93.37,90,bottom
D25,D,D_SOD-123-Pretty,-132.74,-36.22,90,bottom
D26,D,D_SOD-123-Pretty,-144.424,-52.73,90,bottom
D27,D,D_SOD-123-Pretty,-142.265,-74.32,90,bottom
D28,D,D_SOD-123-Pretty,-151.79,-93.37,90,bottom
D29,D,D_SOD-123-Pretty,-151.79,-36.22,90,bottom
D30,D,D_SOD-123-Pretty,-163.474,-52.984,90,bottom
D31,D,D_SOD-123-Pretty,-146.075,-74.32,90,bottom
D32,D,D_SOD-123-Pretty,-170.84,-93.37,90,bottom
D33,D,D_SOD-123-Pretty,-170.84,-36.22,90,bottom
D34,D,D_SOD-123-Pretty,-182.524,-52.984,90,bottom
D35,D,D_SOD-123-Pretty,-180.365,-74.32,90,bottom
D36,D,D_SOD-123-Pretty,-189.89,-93.37,90,bottom
D37,D,D_SOD-123-Pretty,-189.89,-36.22,90,bottom
D38,D,D_SOD-123-Pretty,-201.4,-53,90,bottom
D39,D,D_SOD-123-Pretty,-199.415,-74.32,90,bottom
D40,D,D_SOD-123-Pretty,-208.94,-93.37,90,bottom
D41,D,D_SOD-123-Pretty,-208.94,-36.22,90,bottom
